                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                  1.274,                 1.2524,                 1.3184,                0.77352,                0.63514,                0.73917,                 0.4293,                 1.5395,                 1.2584,                 1.5421,              0.0012674,              0.0012674,              0.0012674
                    113,                 1.2934,                 1.2196,                 1.3221,                0.73571,                0.68967,                0.76651,                0.43974,                 1.4697,                 1.2175,                 1.4906,              0.0012608,              0.0012608,              0.0012608
                    114,                 1.2463,                 1.2037,                 1.2765,                0.68786,                0.66216,                0.70724,                0.40167,                 1.5189,                  1.298,                 1.4943,              0.0012542,              0.0012542,              0.0012542
                    115,                 1.2787,                 1.2292,                 1.3008,                0.68158,                0.67568,                0.69516,                0.39688,                 1.5505,                 1.3539,                 1.5276,              0.0012476,              0.0012476,              0.0012476
                    116,                  1.244,                 1.2078,                 1.2885,                0.66807,                0.78378,                0.77909,                0.44278,                 1.4805,                 1.2086,                 1.4471,               0.001241,               0.001241,               0.001241
                    117,                 1.2426,                 1.1753,                  1.264,                  0.709,                0.71171,                0.76652,                0.42146,                 1.4787,                  1.166,                 1.4629,              0.0012344,              0.0012344,              0.0012344
                    118,                 1.2466,                 1.1974,                 1.2823,                0.71592,                0.72654,                 0.7516,                0.43503,                 1.4591,                 1.1891,                 1.4289,              0.0012278,              0.0012278,              0.0012278
                    119,                 1.2308,                 1.1716,                 1.2699,                0.74069,                0.65621,                0.74304,                0.41845,                 1.4813,                 1.2789,                 1.4777,              0.0012212,              0.0012212,              0.0012212
                    120,                 1.2014,                 1.1448,                 1.2787,                0.73336,                0.72523,                0.76495,                0.44173,                 1.4793,                 1.1532,                 1.4233,              0.0012146,              0.0012146,              0.0012146
                    121,                 1.2254,                 1.1855,                  1.282,                0.73674,                0.65315,                0.73609,                0.40355,                 1.5625,                 1.2737,                 1.5279,               0.001208,               0.001208,               0.001208
                    122,                 1.2774,                 1.2146,                 1.2972,                0.74239,                0.75676,                0.81579,                0.44552,                 1.5083,                 1.1034,                 1.4527,              0.0012014,              0.0012014,              0.0012014
                    123,                 1.2471,                 1.1952,                 1.2875,                0.72377,                 0.5991,                0.71337,                0.37762,                 1.5317,                 1.3377,                 1.4891,              0.0011948,              0.0011948,              0.0011948
                    124,                 1.2074,                 1.1773,                  1.243,                0.69711,                0.76126,                0.77567,                0.43536,                 1.5402,                 1.1841,                 1.4941,              0.0011882,              0.0011882,              0.0011882
                    125,                 1.2324,                 1.1815,                 1.2579,                0.69642,                0.72973,                0.76628,                0.43376,                 1.4874,                 1.1455,                 1.4608,              0.0011816,              0.0011816,              0.0011816
                    126,                 1.2129,                 1.1891,                 1.2668,                0.66364,                0.71171,                0.73932,                0.40994,                 1.5532,                 1.2441,                 1.5213,               0.001175,               0.001175,               0.001175
                    127,                 1.2308,                 1.1722,                 1.2745,                0.76457,                0.72072,                0.78093,                0.41574,                 1.5523,                 1.1372,                 1.4904,              0.0011684,              0.0011684,              0.0011684
                    128,                 1.2307,                 1.1921,                 1.2794,                0.75267,                0.72652,                0.78601,                 0.4471,                 1.4764,                  1.163,                 1.4755,              0.0011618,              0.0011618,              0.0011618
                    129,                 1.2261,                 1.1782,                 1.2735,                0.77582,                0.66216,                 0.7777,                 0.4503,                 1.4666,                 1.1784,                 1.4362,              0.0011552,              0.0011552,              0.0011552
                    130,                 1.1988,                 1.1857,                 1.2501,                0.75993,                0.69869,                 0.7889,                0.44241,                 1.5055,                 1.2785,                  1.472,              0.0011486,              0.0011486,              0.0011486
                    131,                 1.1865,                 1.1502,                 1.2585,                0.76383,                0.74301,                0.77507,                0.44372,                 1.4513,                 1.2848,                 1.4279,               0.001142,               0.001142,               0.001142
                    132,                 1.1922,                 1.1617,                 1.2709,                0.79483,                0.72973,                0.80787,                0.47995,                 1.4035,                 1.1443,                 1.4094,              0.0011354,              0.0011354,              0.0011354
                    133,                 1.2184,                  1.143,                 1.2363,                0.80384,                 0.6982,                0.78352,                0.42984,                 1.5169,                 1.1676,                 1.4735,              0.0011288,              0.0011288,              0.0011288
                    134,                 1.2282,                 1.1534,                 1.2805,                 0.7779,                0.61261,                0.75064,                0.42723,                 1.4947,                 1.2414,                 1.4629,              0.0011222,              0.0011222,              0.0011222
                    135,                 1.2158,                 1.1714,                 1.2566,                0.82099,                0.68919,                0.79155,                0.46548,                 1.4758,                 1.1261,                 1.4816,              0.0011156,              0.0011156,              0.0011156
                    136,                 1.1884,                 1.1388,                 1.2512,                 0.7322,                0.68919,                0.73557,                0.41141,                 1.5217,                 1.2581,                  1.476,               0.001109,               0.001109,               0.001109
                    137,                 1.2149,                 1.1694,                  1.276,                0.74948,                0.68018,                0.77258,                0.45262,                 1.5167,                 1.1916,                 1.4709,              0.0011024,              0.0011024,              0.0011024
                    138,                  1.174,                  1.137,                 1.2505,                 0.7292,                0.76415,                0.77234,                0.44749,                 1.5115,                 1.1891,                 1.4975,              0.0010958,              0.0010958,              0.0010958
                    139,                  1.218,                 1.1657,                  1.286,                0.80787,                0.65315,                 0.7562,                0.40738,                 1.5862,                 1.2175,                 1.5261,              0.0010892,              0.0010892,              0.0010892
                    140,                 1.1832,                 1.1046,                 1.2427,                 0.7676,                0.66216,                0.74723,                  0.423,                 1.5164,                 1.2342,                 1.4783,              0.0010826,              0.0010826,              0.0010826
                    141,                 1.1943,                 1.1254,                 1.2455,                0.68321,                0.67117,                0.71667,                0.39405,                  1.572,                 1.2505,                 1.5136,               0.001076,               0.001076,               0.001076
                    142,                 1.1722,                  1.085,                 1.2401,                0.80144,                0.67568,                0.77436,                0.44227,                 1.4693,                  1.137,                 1.4702,              0.0010694,              0.0010694,              0.0010694
                    143,                 1.1477,                 1.0559,                 1.2208,                0.73314,                0.71775,                0.76708,                0.42317,                 1.5494,                 1.1619,                 1.4983,              0.0010628,              0.0010628,              0.0010628
